measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-24T15:00:00,119t,19.7,,19.0,1.3,0.0,2.0,37
2026-08-24T15:00:00,02t,9.6,,,,,,16
2026-08-24T14:00:00,03t,13.4,,,,,,22
2026-08-24T15:00:00,05t,10.5,,,,,,18
2026-08-24T15:00:00,12t,10.3,,,,,,17
2026-08-24T15:00:00,50t,13.1,,,,,,22
2026-08-24T15:00:00,52t,12.9,,,,,,22
2026-08-24T15:00:00,53t,12.8,,,,,,21
2026-08-24T15:00:00,54t,13.6,,,,,,23
2026-08-24T15:00:00,59t,8.9,18.0,23.0,0.8,5.0,,16
2026-08-24T15:00:00,61t,9.7,,,,,,16
2026-08-24T15:00:00,bkp100t,6.9,,,,,,12
2026-08-24T15:00:00,bkp101t,13.1,21.0,,,,,22
2026-08-24T15:00:00,bkp102t,9.0,37.0,,,,,19
2026-08-24T15:00:00,bkp103t,11.5,,,,,,19
2026-08-24T15:00:00,bkp104t,10.2,23.0,,,,,17
2026-08-24T15:00:00,bkp105t,17.3,,,,,,31
2026-08-24T15:00:00,bkp114t,7.7,,,,,,13
2026-08-24T15:00:00,bkp115t,7.9,,,,,,13
2026-08-24T15:00:00,bkp116t,8.4,,,,,,14
2026-08-24T15:00:00,bkp117t,6.9,,,,,,12
2026-08-24T15:00:00,bkp118t,11.7,,,,,,20
2026-08-24T14:00:00,bkp119t,9.6,,,,,,16
2026-08-24T15:00:00,bkp120t,8.9,,,,,,15
2026-08-24T15:00:00,bkp121t,8.8,,,,,,15
2026-08-24T15:00:00,bkp122t,8.1,,,,,,14
2026-08-24T15:00:00,bkp123t,7.2,,,,,,12
2026-08-24T15:00:00,bkp124t,13.2,,,,,,22
2026-08-24T15:00:00,bkp125t,12.5,,,,,,21
2026-08-24T15:00:00,bkp126t,10.6,,,,,,18
2026-08-24T15:00:00,bkp127t,16.5,,,,,,29
2026-08-24T15:00:00,bkp128t,8.3,,,,,,14
2026-08-24T15:00:00,bkp129t,8.0,,,,,,13
2026-08-24T15:00:00,bkp130t,7.6,,,,,,13
2026-08-24T15:00:00,bkp131t,7.2,,,,,,12
2026-08-24T15:00:00,bkp133t,9.5,,,,,,16
2026-08-24T15:00:00,bkp56t,11.3,49.0,,,,,25
2026-08-24T15:00:00,bkp57t,11.1,35.0,,,,,19
2026-08-24T15:00:00,bkp58t,17.3,56.0,,,,,31
2026-08-24T15:00:00,bkp59t,7.4,37.0,,,,,19
2026-08-24T15:00:00,bkp60t,9.0,33.0,,,,,17
2026-08-24T15:00:00,bkp61t,9.3,22.0,,,,,16
2026-08-24T15:00:00,bkp62t,17.9,,,,,,33
2026-08-24T15:00:00,bkp63t,10.9,,,,,,18
2026-08-24T15:00:00,bkp64t,18.5,,,,,,34
2026-08-24T15:00:00,bkp65t,14.4,,,,,,24
2026-08-24T15:00:00,bkp66t,12.0,,,,,,20
2026-08-24T15:00:00,bkp67t,13.4,,,,,,22
2026-08-24T15:00:00,bkp69t,13.0,,,,,,22
2026-08-24T15:00:00,bkp70t,7.5,27.0,,,,,14
2026-08-24T15:00:00,bkp71t,7.2,28.0,,,,,14
