measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-24T00:00:00,119t,19.7,,28.0,1.3,4.0,2.0,37
2026-08-24T00:00:00,02t,10.2,,,,,,17
2026-08-23T17:00:00,03t,13.4,,,,,,22
2026-08-23T17:00:00,05t,10.6,,,,,,18
2026-08-23T17:00:00,12t,10.4,,,,,,17
2026-08-24T00:00:00,50t,12.6,,,,,,21
2026-08-24T00:00:00,52t,11.7,,,,,,20
2026-08-24T00:00:00,53t,11.1,,,,,,19
2026-08-23T17:00:00,54t,13.3,,,,,,22
2026-08-24T00:00:00,59t,8.1,18.0,8.0,0.9,12.0,,14
2026-08-24T00:00:00,61t,10.7,,,,,,18
2026-08-24T00:00:00,bkp100t,7.7,,,,,,13
2026-08-24T00:00:00,bkp101t,13.2,21.0,,,,,22
2026-08-24T00:00:00,bkp102t,9.0,33.0,,,,,17
2026-08-24T00:00:00,bkp103t,12.5,,,,,,21
2026-08-24T00:00:00,bkp104t,9.4,21.0,,,,,16
2026-08-24T00:00:00,bkp105t,19.1,,,,,,36
2026-08-24T00:00:00,bkp114t,6.8,,,,,,11
2026-08-24T00:00:00,bkp115t,7.0,,,,,,12
2026-08-24T00:00:00,bkp116t,9.4,,,,,,16
2026-08-24T00:00:00,bkp117t,6.6,,,,,,11
2026-08-24T00:00:00,bkp118t,11.6,,,,,,19
2026-08-24T00:00:00,bkp119t,8.5,,,,,,14
2026-08-24T00:00:00,bkp120t,9.0,,,,,,15
2026-08-24T00:00:00,bkp121t,8.0,,,,,,13
2026-08-24T00:00:00,bkp122t,6.8,,,,,,11
2026-08-24T00:00:00,bkp123t,6.1,,,,,,10
2026-08-24T00:00:00,bkp124t,11.7,,,,,,20
2026-08-24T00:00:00,bkp125t,12.9,,,,,,22
2026-08-24T00:00:00,bkp126t,10.1,,,,,,17
2026-08-24T00:00:00,bkp127t,15.3,,,,,,26
2026-08-24T00:00:00,bkp128t,7.6,,,,,,13
2026-08-24T00:00:00,bkp129t,9.7,,,,,,16
2026-08-24T00:00:00,bkp130t,7.9,,,,,,13
2026-08-24T00:00:00,bkp131t,6.9,,,,,,12
2026-08-24T00:00:00,bkp133t,10.5,,,,,,18
2026-08-24T00:00:00,bkp56t,10.0,42.0,,,,,21
2026-08-24T00:00:00,bkp57t,11.4,35.0,,,,,19
2026-08-24T00:00:00,bkp58t,15.3,53.0,,,,,28
2026-08-24T00:00:00,bkp59t,6.6,33.0,,,,,17
2026-08-24T00:00:00,bkp60t,7.7,31.0,,,,,16
2026-08-24T00:00:00,bkp61t,10.3,26.0,,,,,17
2026-08-24T00:00:00,bkp62t,15.7,,,,,,27
2026-08-24T00:00:00,bkp63t,11.3,,,,,,19
2026-08-24T00:00:00,bkp64t,16.6,,,,,,30
2026-08-24T00:00:00,bkp65t,12.4,,,,,,21
2026-08-23T19:00:00,bkp66t,11.1,,,,,,19
2026-08-24T00:00:00,bkp67t,13.0,,,,,,22
2026-08-24T00:00:00,bkp69t,13.7,,,,,,23
2026-08-24T00:00:00,bkp70t,8.2,26.0,,,,,14
2026-08-24T00:00:00,bkp71t,8.8,28.0,,,,,15
2026-08-24T00:00:00,bkp72t,11.9,49.0,,,,,25
2026-08-24T00:00:00,bkp73t,14.3,,,,,,24
2026-08-24T00:00:00,bkp74t,7.9,20.0,,,,,13
2026-08-24T00:00:00,bkp75t,15.2,42.0,,,,,26
2026-08-24T00:00:00,bkp76t,7.7,,,,,,13
2026-08-24T00:00:00,bkp77t,10.7,27.0,,,,,18
2026-08-24T00:00:00,bkp78t,18.8,,,,,,35
2026-08-24T00:00:00,bkp79t,13.7,30.0,,,,,23
2026-08-24T00:00:00,bkp80t,16.5,62.0,,,,,35
2026-08-24T00:00:00,bkp81t,18.2,67.0,,,,,39
2026-08-24T00:00:00,bkp82t,7.1,,,,,,12
2026-08-24T00:00:00,bkp83t,6.1,,,,,,10
2026-08-24T00:00:00,bkp84t,14.0,37.0,,,,,23
2026-08-24T00:00:00,bkp85t,12.9,,,,,,22
2026-08-24T00:00:00,bkp86t,11.4,20.0,,,,,19
2026-08-24T00:00:00,bkp87t,10.1,21.0,,,,,17
2026-08-24T00:00:00,bkp88t,11.7,,,,,,20
2026-08-24T00:00:00,bkp89t,12.2,37.0,,,,,20
2026-08-24T00:00:00,bkp90t,14.5,43.0,,,,,24
2026-08-24T00:00:00,bkp91t,9.2,37.0,,,,,19
2026-08-24T00:00:00,bkp92t,14.3,,,,,,24
2026-08-24T00:00:00,bkp93t,9.0,28.0,,,,,15
2026-08-24T00:00:00,bkp94t,12.8,,,,,,21
2026-08-24T00:00:00,bkp95t,11.8,,,,,,20
2026-08-24T00:00:00,bkp96t,10.8,22.0,,,,,18
2026-08-24T00:00:00,bkp97t,13.3,,,,,,22
2026-08-24T00:00:00,bkp98t,17.3,,,,,,31
2026-08-24T00:00:00,bkp99t,9.2,18.0,,,,,15
2026-08-24T00:00:00,o10,11.8,,,,,,20
2026-08-24T00:00:00,79t,14.5,,,,,,24
2026-08-24T00:00:00,107t,8.0,,30.0,0.2,1.0,102.0,26
2026-08-24T00:00:00,94t,11.3,21.0,,,,,19
2026-08-24T00:00:00,46t,18.1,,,,,,33
2026-08-23T23:00:00,100t,4.7,25.0,11.0,0.0,7.0,0.0,13
2026-08-24T00:00:00,60t,14.3,,,,,,24
2026-08-24T00:00:00,33t,5.7,,,,,,10
2026-08-24T00:00:00,34t,19.6,,,,,,37
2026-08-24T00:00:00,o61,6.1,,,,,,10
2026-08-24T00:00:00,117t,13.0,,10.0,0.2,7.0,,22
2026-08-24T00:00:00,108t,8.7,,32.0,2.1,1.0,2.0,23
2026-08-24T00:00:00,118t,13.5,,5.0,0.7,7.0,0.0,23
2026-08-24T00:00:00,93t,26.9,50.0,,0.1,,0.0,58
2026-08-24T00:00:00,87t,10.6,,,,0.0,,18
2026-08-23T17:00:00,76t,10.1,,,,,,17
2026-08-24T00:00:00,105t,7.8,,16.0,0.2,6.0,1.0,13
2026-08-24T00:00:00,81t,6.0,,,,,,10
2026-08-24T00:00:00,88t,10.8,20.0,,,2.0,,18
2026-08-24T00:00:00,47t,13.4,,,,,,22
2026-08-23T18:00:00,89t,25.4,44.0,,,,,52
2026-08-23T17:00:00,41t,9.9,,,,,,17
2026-08-24T00:00:00,13t,5.5,16.0,12.0,0.4,,,9
2026-08-24T00:00:00,22t,7.7,18.0,,,,,13
2026-08-23T18:00:00,62t,24.8,,,,,,50
2026-08-24T00:00:00,67t,19.2,,,,,,36
2026-08-24T00:00:00,75t,8.9,,,,0.0,9.0,15
2026-08-24T00:00:00,106t,7.6,,18.0,0.3,1.0,1.0,13
2026-08-24T00:00:00,101t,6.0,14.0,,3.3,2.0,1.0,19
2026-08-24T00:00:00,20t,18.7,25.0,,,,,35
2026-08-24T00:00:00,103t,3.8,23.0,,0.3,8.0,0.0,12
2026-08-24T00:00:00,77t,15.3,27.0,,,,,26
2026-08-24T00:00:00,121t,30.7,,38.0,0.3,6.0,1.0,73
2026-08-24T00:00:00,21t,7.0,,,,,,12
2026-08-24T00:00:00,70t,11.2,,,,,,19
2026-08-24T00:00:00,120t,28.0,,38.0,0.7,3.0,1.0,62
2026-08-24T00:00:00,95t,11.2,20.0,,,,,19
2026-08-24T00:00:00,86t,12.0,26.0,,0.9,19.0,,20
2026-08-23T18:00:00,43t,26.0,,,,,,55
2026-08-24T00:00:00,114t,7.5,19.0,32.0,0.4,3.0,0.0,23
2026-08-24T00:00:00,102t,14.2,23.0,,,,1.0,24
2026-08-23T18:00:00,63t,24.7,,,,,,49
2026-08-24T00:00:00,78t,27.9,,,,,,62
2026-08-24T00:00:00,109t,7.3,,27.0,0.1,2.0,3.0,19
2026-08-24T00:00:00,28t,12.4,,,,,,21
2026-08-24T00:00:00,29t,10.5,35.0,,,,,18
2026-08-24T00:00:00,30t,9.5,31.0,13.0,0.1,1.0,1.0,16
2026-08-23T14:00:00,31t,16.2,,,,,,29
2026-08-24T00:00:00,74t,11.4,,,,,,19
2026-08-24T00:00:00,o63,5.1,,,,,,9
2026-08-24T00:00:00,26t,10.9,,,,,,18
2026-08-24T00:00:00,113t,4.8,12.0,44.0,0.0,0.0,0.0,40
2026-08-24T00:00:00,99t,13.9,23.0,16.0,0.3,4.0,4.0,23
2026-08-23T17:00:00,37t,10.1,,,,,,17
2026-08-23T17:00:00,38t,9.7,,32.0,0.3,2.0,0.0,23
2026-08-23T17:00:00,39t,9.6,,,,,,16
2026-08-24T00:00:00,40t,11.6,,,,,,19
2026-08-24T00:00:00,68t,11.2,21.0,,,,,19
2026-08-24T00:00:00,112t,5.7,,22.0,0.0,0.0,0.0,16
2026-08-24T00:00:00,90t,10.6,18.0,,,,,18
2026-08-23T18:00:00,44t,27.6,,,,,,61
2026-08-23T18:00:00,80t,25.5,,,,,,53
2026-08-24T00:00:00,08t,14.8,,,,,,25
2026-08-24T00:00:00,16t,7.1,18.0,,,,,12
2026-08-24T00:00:00,17t,14.5,,,,,,24
2026-08-24T00:00:00,18t,17.1,,,,,,31
2026-08-23T23:00:00,19t,9.1,,,,,,15
2026-08-24T00:00:00,84t,6.9,18.0,,,,,12
2026-08-24T00:00:00,14t,11.6,,8.0,0.4,10.0,2.0,19
2026-08-24T00:00:00,27t,10.8,,,,,,18
2026-08-24T00:00:00,24t,14.9,53.0,,,,,28
2026-08-24T00:00:00,25t,8.7,,,,,,15
2026-08-24T00:00:00,71t,3.5,11.0,12.0,0.0,3.0,10.0,9
2026-08-24T00:00:00,104t,8.6,,16.0,0.1,4.0,2.0,14
2026-08-24T00:00:00,85t,9.0,,,,,,15
2026-08-23T18:00:00,42t,25.7,,,,,,53
2026-08-24T00:00:00,111t,5.9,,20.0,0.1,0.0,0.0,14
2026-08-24T00:00:00,96t,6.9,16.0,,0.8,1.0,1.0,12
2026-08-24T00:00:00,82t,11.5,27.0,,0.2,0.0,,19
2026-08-24T00:00:00,115t,8.7,17.0,15.0,0.2,1.0,1.0,15
2026-08-24T00:00:00,110t,7.8,,37.0,0.2,2.0,1.0,28
2026-08-24T00:00:00,91t,8.7,,,,,,15
2026-08-24T00:00:00,92t,11.1,22.0,,,,,19
2026-08-24T00:00:00,98t,10.4,20.0,17.0,0.2,,0.0,17
2026-08-24T00:00:00,83t,6.3,15.0,,,,,11
2026-08-24T00:00:00,116t,6.8,16.0,16.0,0.1,2.0,0.0,11
2026-08-24T00:00:00,57t,9.9,33.0,,,,,17
2026-08-24T00:00:00,73t,11.7,,,,,,20
2026-08-24T00:00:00,35t,15.9,,,,,,28
2026-08-24T00:00:00,36t,9.0,,,,,,15
2026-08-24T00:00:00,97t,11.5,17.0,20.0,0.0,1.0,3.0,19
2026-08-24T00:00:00,72t,7.7,18.0,,,0.0,,13
2026-08-24T00:00:00,69t,11.4,,,,,,19
2026-08-24T00:00:00,58t,8.5,15.0,,,,,14
