measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-23T05:00:00,119t,16.6,,14.0,1.4,2.0,2.0,30
2026-08-23T05:00:00,02t,10.4,,,,,,17
2026-08-22T17:00:00,03t,12.1,,,,,,20
2026-08-22T17:00:00,05t,10.0,,,,,,17
2026-08-22T17:00:00,12t,9.9,,,,,,17
2026-08-23T05:00:00,50t,12.7,,,,,,21
2026-08-23T05:00:00,52t,11.5,,,,,,19
2026-08-23T05:00:00,53t,11.1,,,,,,19
2026-08-22T17:00:00,54t,12.1,,,,,,20
2026-08-23T05:00:00,59t,8.1,19.0,0.0,0.8,12.0,,14
2026-08-23T05:00:00,61t,10.7,,,,,,18
2026-08-23T05:00:00,bkp100t,4.4,,,,,,7
2026-08-23T05:00:00,bkp101t,12.8,17.0,,,,,21
2026-08-23T05:00:00,bkp102t,9.0,30.0,,,,,15
2026-08-22T17:00:00,bkp103t,11.5,,,,,,19
2026-08-23T05:00:00,bkp104t,9.8,21.0,,,,,16
2026-08-22T17:00:00,bkp105t,17.6,,,,,,32
2026-08-23T04:00:00,bkp114t,7.5,,,,,,13
2026-08-23T05:00:00,bkp115t,5.7,,,,,,10
2026-08-23T05:00:00,bkp116t,7.6,,,,,,13
2026-08-23T05:00:00,bkp117t,7.0,,,,,,12
2026-08-23T05:00:00,bkp118t,12.9,,,,,,22
2026-08-23T05:00:00,bkp119t,7.9,,,,,,13
2026-08-23T05:00:00,bkp120t,7.0,,,,,,12
2026-08-23T05:00:00,bkp121t,7.8,,,,,,13
2026-08-23T05:00:00,bkp122t,6.7,,,,,,11
2026-08-23T05:00:00,bkp123t,7.3,,,,,,12
2026-08-23T05:00:00,bkp124t,12.2,,,,,,20
2026-08-23T04:00:00,bkp125t,12.6,,,,,,21
2026-08-23T05:00:00,bkp126t,11.1,,,,,,19
2026-08-23T05:00:00,bkp127t,15.3,,,,,,26
2026-08-23T05:00:00,bkp128t,7.6,,,,,,13
2026-08-23T05:00:00,bkp129t,9.3,,,,,,16
2026-08-23T05:00:00,bkp130t,6.4,,,,,,11
2026-08-23T05:00:00,bkp131t,8.6,,,,,,14
2026-08-23T05:00:00,bkp133t,9.0,,,,,,15
2026-08-23T05:00:00,bkp56t,10.8,43.0,,,,,22
2026-08-23T05:00:00,bkp57t,10.9,33.0,,,,,18
2026-08-23T05:00:00,bkp58t,15.0,53.0,,,,,28
2026-08-23T05:00:00,bkp59t,8.4,30.0,,,,,15
2026-08-23T05:00:00,bkp60t,9.0,32.0,,,,,16
2026-08-23T05:00:00,bkp61t,12.7,27.0,,,,,21
2026-08-23T05:00:00,bkp62t,16.9,,,,,,30
2026-08-23T05:00:00,bkp63t,9.7,,,,,,16
2026-08-23T05:00:00,bkp64t,15.5,,,,,,27
2026-08-23T05:00:00,bkp65t,11.5,,,,,,19
2026-08-22T22:00:00,bkp66t,14.8,,,,,,25
2026-08-23T05:00:00,bkp67t,12.3,,,,,,21
2026-08-23T05:00:00,bkp69t,11.2,,,,,,19
2026-08-23T05:00:00,bkp70t,7.2,22.0,,,,,12
2026-08-23T05:00:00,bkp71t,7.9,27.0,,,,,14
2026-08-23T05:00:00,bkp72t,18.2,46.0,,,,,34
2026-08-23T05:00:00,bkp73t,11.0,,,,,,18
2026-08-23T05:00:00,bkp74t,3.7,20.0,,,,,10
2026-08-23T05:00:00,bkp75t,24.4,38.0,,,,,49
2026-08-23T05:00:00,bkp76t,6.3,,,,,,11
2026-08-23T05:00:00,bkp77t,7.9,22.0,,,,,13
2026-08-23T05:00:00,bkp78t,18.5,,,,,,34
2026-08-23T05:00:00,bkp79t,14.6,25.0,,,,,24
2026-08-23T05:00:00,bkp80t,15.7,52.0,,,,,27
2026-08-23T05:00:00,bkp81t,18.3,60.0,,,,,34
2026-08-23T05:00:00,bkp82t,6.7,,,,,,11
2026-08-23T05:00:00,bkp83t,5.8,,,,,,10
2026-08-23T05:00:00,bkp84t,16.6,41.0,,,,,30
2026-08-23T05:00:00,bkp85t,14.2,,,,,,24
2026-08-23T05:00:00,bkp86t,12.0,20.0,,,,,20
2026-08-23T05:00:00,bkp87t,9.7,20.0,,,,,16
2026-08-23T05:00:00,bkp88t,12.1,,,,,,20
2026-08-23T05:00:00,bkp89t,13.3,39.0,,,,,22
2026-08-23T05:00:00,bkp90t,15.6,42.0,,,,,27
2026-08-23T05:00:00,bkp91t,9.9,33.0,,,,,17
2026-08-23T05:00:00,bkp92t,15.2,,,,,,26
2026-08-23T05:00:00,bkp93t,8.2,26.0,,,,,14
2026-08-22T17:00:00,bkp94t,12.7,,,,,,21
2026-08-23T05:00:00,bkp95t,11.9,,,,,,20
2026-08-23T05:00:00,bkp96t,11.0,20.0,,,,,18
2026-08-22T17:00:00,bkp97t,12.1,,,,,,20
2026-08-23T05:00:00,bkp98t,15.2,,,,,,26
2026-08-23T05:00:00,bkp99t,9.9,13.0,,,,,17
2026-08-23T05:00:00,o10,9.4,,,,,,16
2026-08-23T05:00:00,79t,14.9,,,,,,25
2026-08-23T05:00:00,107t,7.9,,28.0,0.2,3.0,14.0,20
2026-08-23T05:00:00,94t,9.4,19.0,,,,,16
2026-08-23T05:00:00,46t,17.3,,,,,,31
2026-08-22T16:00:00,100t,5.9,39.0,17.0,0.0,3.0,,20
2026-08-23T05:00:00,60t,14.7,,,,,,25
2026-08-23T05:00:00,33t,6.3,,,,,,11
2026-08-23T05:00:00,34t,9.8,,,,,,16
2026-08-23T05:00:00,o61,5.6,,,,,,9
2026-08-23T05:00:00,117t,12.6,,13.0,0.1,2.0,1.0,21
2026-08-23T05:00:00,108t,7.2,,23.0,2.1,2.0,2.0,16
2026-08-23T05:00:00,118t,9.8,,5.0,0.7,6.0,0.0,16
2026-08-23T05:00:00,93t,23.3,44.0,,0.3,6.0,0.0,46
2026-08-23T05:00:00,87t,11.0,,,,0.0,,18
2026-08-22T23:00:00,76t,8.9,,,,,,15
2026-08-23T05:00:00,105t,9.0,,3.0,0.2,11.0,1.0,15
2026-08-23T05:00:00,81t,6.6,,,,,,11
2026-08-23T05:00:00,88t,10.5,21.0,,,2.0,,18
2026-08-23T05:00:00,47t,12.0,,,,,,20
2026-08-22T23:00:00,89t,19.4,35.0,,,,,36
2026-08-22T23:00:00,41t,8.7,,,,,,15
2026-08-23T05:00:00,13t,3.9,14.0,5.0,0.4,,,7
2026-08-23T05:00:00,22t,6.0,16.0,,,,,10
2026-08-22T17:00:00,62t,15.1,,,,,,26
2026-08-23T05:00:00,67t,16.6,,,,,,30
2026-08-23T05:00:00,75t,7.4,,,,0.0,9.0,12
2026-08-23T05:00:00,106t,7.6,,11.0,0.2,1.0,1.0,13
2026-08-23T05:00:00,101t,5.7,13.0,35.0,3.6,2.0,1.0,25
2026-08-23T05:00:00,20t,15.4,21.0,,,,,27
2026-08-23T05:00:00,103t,4.1,21.0,,0.1,7.0,0.0,11
2026-08-23T05:00:00,77t,14.1,25.0,,,,,24
2026-08-23T05:00:00,121t,21.9,,19.0,0.3,6.0,1.0,42
2026-08-23T05:00:00,21t,5.3,,,,,,9
2026-08-23T05:00:00,70t,8.8,,,,,,15
2026-08-23T05:00:00,120t,24.5,,19.0,0.8,9.0,1.0,49
2026-08-23T05:00:00,95t,8.6,17.0,,,,,14
