measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-09-21T17:00:00,119t,7.1,,21.0,0.4,2.0,3.0,15
2026-09-21T17:00:00,02t,9.9,,,,,,17
2026-09-21T17:00:00,03t,12.8,,,,,,21
2026-09-21T17:00:00,05t,10.9,,,,,,18
2026-09-18T18:00:00,12t,12.5,,,,,,21
2026-09-21T17:00:00,50t,12.6,,,,,,21
2026-09-21T17:00:00,52t,12.5,,,,,,21
2026-09-21T17:00:00,53t,12.4,,,,,,21
2026-09-21T17:00:00,54t,13.1,,,0.0,,,22
2026-09-21T17:00:00,59t,8.8,17.0,,,5.0,,15
2026-09-21T17:00:00,61t,10.3,,,,,,17
2026-09-21T20:00:00,bkp100t,6.5,,,,,,11
2026-09-21T20:00:00,bkp101t,15.1,24.0,,,,,26
2026-09-21T20:00:00,bkp102t,8.5,27.0,,,,,14
2026-09-21T20:00:00,bkp103t,10.0,,,,,,17
2026-09-21T20:00:00,bkp104t,9.1,18.0,,,,,15
2026-09-21T20:00:00,bkp105t,13.2,,,,,,22
2026-09-21T20:00:00,bkp114t,8.0,,,,,,13
2026-09-21T20:00:00,bkp115t,8.3,,,,,,14
2026-09-21T20:00:00,bkp116t,7.4,,,,,,12
2026-09-21T20:00:00,bkp117t,8.2,,,,,,14
2026-09-21T20:00:00,bkp118t,14.3,,,,,,24
2026-09-21T20:00:00,bkp119t,10.2,,,,,,17
2026-09-21T20:00:00,bkp120t,14.0,,,,,,23
2026-09-21T20:00:00,bkp121t,7.9,,,,,,13
2026-09-21T20:00:00,bkp122t,7.4,,,,,,12
2026-09-21T20:00:00,bkp123t,8.0,,,,,,13
2026-09-21T20:00:00,bkp124t,11.6,,,,,,19
2026-09-21T20:00:00,bkp125t,13.7,,,,,,23
2026-09-21T20:00:00,bkp126t,9.0,,,,,,15
2026-09-21T20:00:00,bkp127t,10.7,,,,,,18
2026-09-21T20:00:00,bkp128t,9.8,,,,,,16
2026-09-21T20:00:00,bkp129t,9.4,,,,,,16
2026-09-21T20:00:00,bkp130t,7.8,,,,,,13
2026-09-21T20:00:00,bkp131t,10.0,,,,,,17
2026-09-21T20:00:00,bkp133t,9.8,,,,,,16
2026-09-21T20:00:00,bkp56t,14.3,51.0,,,,,26
2026-09-21T20:00:00,bkp57t,14.5,52.0,,,,,27
2026-09-21T20:00:00,bkp58t,14.0,41.0,,,,,23
2026-09-21T20:00:00,bkp59t,17.2,36.0,,,,,31
2026-09-21T20:00:00,bkp60t,9.6,29.0,,,,,16
