measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-09-05T15:00:00,119t,6.4,,15.0,1.3,1.0,2.0,11
2026-09-05T15:00:00,02t,15.3,,,,,,26
2026-09-05T14:00:00,03t,18.5,,,,,,34
2026-09-05T14:00:00,05t,15.7,,,,,,27
2026-09-05T14:00:00,12t,15.6,,,,,,27
2026-09-05T15:00:00,50t,18.5,,,,,,34
2026-09-05T15:00:00,52t,18.1,,,,,,33
2026-09-05T15:00:00,53t,18.2,,,,,,34
2026-09-05T14:00:00,54t,18.7,,,0.0,,,35
2026-09-05T15:00:00,59t,14.4,29.0,27.0,0.3,1.0,,24
2026-09-05T15:00:00,61t,15.3,,,,,,26
2026-09-05T15:00:00,bkp100t,12.0,,,,,,20
2026-09-05T15:00:00,bkp101t,16.2,31.0,,,,,29
2026-09-05T15:00:00,bkp102t,13.3,60.0,,,,,33
2026-09-05T15:00:00,bkp103t,16.7,,,,,,30
2026-09-05T15:00:00,bkp104t,13.9,38.0,,,,,23
2026-09-05T15:00:00,bkp105t,21.0,,,,,,40
2026-09-05T15:00:00,bkp114t,11.6,,,,,,19
2026-09-05T15:00:00,bkp115t,11.5,,,,,,19
2026-09-05T15:00:00,bkp116t,12.6,,,,,,21
2026-09-05T15:00:00,bkp117t,11.3,,,,,,19
2026-09-05T15:00:00,bkp118t,16.6,,,,,,30
2026-09-05T15:00:00,bkp119t,14.7,,,,,,25
2026-09-05T15:00:00,bkp120t,14.9,,,,,,25
2026-09-05T15:00:00,bkp121t,12.7,,,,,,21
2026-09-05T15:00:00,bkp122t,12.3,,,,,,21
2026-09-05T15:00:00,bkp123t,11.3,,,,,,19
2026-09-05T15:00:00,bkp124t,18.7,,,,,,35
2026-09-05T15:00:00,bkp125t,17.8,,,,,,33
2026-09-05T15:00:00,bkp126t,15.6,,,,,,27
2026-09-05T15:00:00,bkp127t,22.9,,,,,,45
2026-09-05T15:00:00,bkp128t,12.3,,,,,,21
2026-09-05T15:00:00,bkp129t,11.6,,,,,,19
2026-09-05T15:00:00,bkp130t,11.7,,,,,,20
2026-09-05T15:00:00,bkp131t,14.0,,,,,,23
2026-09-05T15:00:00,bkp133t,13.2,,,,,,22
2026-09-05T15:00:00,bkp56t,15.8,60.0,,,,,33
2026-09-05T15:00:00,bkp57t,17.0,50.0,,,,,31
2026-09-05T15:00:00,bkp58t,23.1,65.0,,,,,45
2026-09-05T15:00:00,bkp59t,20.8,49.0,,,,,40
2026-09-05T15:00:00,bkp60t,11.8,43.0,,,,,22
2026-09-05T15:00:00,bkp61t,12.7,30.0,,,,,21
2026-09-05T15:00:00,bkp62t,24.7,,,,,,49
2026-09-05T15:00:00,bkp63t,15.6,,,,,,27
2026-09-05T15:00:00,bkp64t,23.0,,,,,,45
2026-09-05T15:00:00,bkp65t,20.0,,,,,,38
2026-09-05T15:00:00,bkp66t,21.8,,,,,,42
2026-09-05T15:00:00,bkp67t,20.6,,,,,,39
2026-09-05T15:00:00,bkp69t,16.8,,,,,,30
2026-09-05T15:00:00,bkp70t,12.5,40.0,,,,,21
2026-09-05T15:00:00,bkp71t,12.4,36.0,,,,,21
2026-09-05T15:00:00,bkp72t,24.4,57.0,,,,,49
2026-09-05T15:00:00,bkp73t,14.9,,,,,,25
2026-09-05T15:00:00,bkp74t,11.6,30.0,,,,,19
2026-09-05T15:00:00,bkp75t,14.6,37.0,,,,,24
2026-09-05T15:00:00,bkp76t,11.5,,,,,,19
