measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-09-03T11:00:00,119t,6.2,,10.0,1.3,0.0,2.0,10
2026-09-03T11:00:00,02t,13.6,,,,,,23
2026-09-03T09:00:00,03t,17.9,,,,,,33
2026-09-03T09:00:00,05t,14.8,,,,,,25
2026-09-03T09:00:00,12t,14.7,,,,,,25
2026-09-03T10:00:00,50t,17.3,,,,,,31
2026-09-03T11:00:00,52t,17.1,,,,,,31
2026-09-03T11:00:00,53t,16.8,,,,,,30
2026-09-03T09:00:00,54t,18.0,,,0.0,,,33
2026-09-03T11:00:00,59t,12.8,26.0,12.0,0.3,5.0,,21
2026-09-03T11:00:00,61t,13.7,,,,,,23
2026-09-03T11:00:00,bkp100t,10.2,,,,,,17
2026-09-03T11:00:00,bkp101t,13.4,25.0,,,,,22
2026-09-03T11:00:00,bkp102t,12.2,49.0,,,,,25
2026-09-03T11:00:00,bkp103t,14.0,,,,,,23
2026-09-03T11:00:00,bkp104t,13.8,34.0,,,,,23
2026-09-03T11:00:00,bkp105t,20.3,,,,,,39
2026-09-03T10:00:00,bkp114t,11.1,,,,,,19
2026-09-03T11:00:00,bkp115t,9.7,,,,,,16
2026-09-03T11:00:00,bkp116t,10.7,,,,,,18
2026-09-03T11:00:00,bkp117t,11.2,,,,,,19
2026-09-03T11:00:00,bkp118t,15.9,,,,,,28
2026-09-03T11:00:00,bkp119t,14.8,,,,,,25
2026-09-03T11:00:00,bkp120t,11.6,,,,,,19
2026-09-03T11:00:00,bkp121t,12.2,,,,,,20
2026-09-03T11:00:00,bkp122t,10.8,,,,,,18
2026-09-03T11:00:00,bkp123t,10.6,,,,,,18
2026-09-03T11:00:00,bkp124t,16.2,,,,,,29
2026-09-03T11:00:00,bkp125t,16.4,,,,,,29
2026-09-03T11:00:00,bkp126t,14.1,,,,,,24
2026-09-03T11:00:00,bkp127t,20.3,,,,,,39
2026-09-03T11:00:00,bkp128t,11.7,,,,,,20
2026-09-03T11:00:00,bkp129t,12.1,,,,,,20
2026-09-03T11:00:00,bkp130t,9.4,,,,,,16
2026-09-03T11:00:00,bkp131t,13.3,,,,,,22
2026-09-03T11:00:00,bkp133t,12.7,,,,,,21
2026-09-03T11:00:00,bkp56t,15.7,58.0,,,,,32
2026-09-03T11:00:00,bkp57t,16.0,46.0,,,,,28
2026-09-03T11:00:00,bkp58t,22.0,64.0,,,,,43
2026-09-03T11:00:00,bkp59t,20.4,46.0,,,,,39
2026-09-03T11:00:00,bkp60t,10.1,37.0,,,,,19
2026-09-03T11:00:00,bkp61t,12.4,28.0,,,,,21
2026-09-03T11:00:00,bkp62t,24.3,,,,,,48
2026-09-03T11:00:00,bkp63t,15.4,,,,,,27
2026-09-03T11:00:00,bkp64t,21.8,,,,,,42
2026-09-03T11:00:00,bkp65t,19.4,,,,,,36
2026-09-03T11:00:00,bkp66t,20.3,,,,,,39
2026-09-03T11:00:00,bkp67t,19.2,,,,,,36
2026-09-03T11:00:00,bkp69t,18.1,,,,,,33
2026-09-03T11:00:00,bkp70t,12.0,44.0,,,,,22
2026-09-03T11:00:00,bkp71t,13.2,33.0,,,,,22
2026-09-03T11:00:00,bkp72t,24.8,60.0,,,,,50
2026-09-03T11:00:00,bkp73t,15.0,,,,,,25
2026-09-03T11:00:00,bkp74t,8.8,22.0,,,,,15
2026-09-03T11:00:00,bkp75t,13.5,34.0,,,,,23
2026-09-03T11:00:00,bkp76t,11.0,,,,,,18
2026-09-03T11:00:00,bkp77t,11.0,30.0,,,,,18
2026-09-03T11:00:00,bkp78t,26.0,,,,,,55
2026-09-03T11:00:00,bkp79t,16.5,42.0,,,,,29
2026-09-03T11:00:00,bkp80t,16.4,67.0,,,,,39
2026-09-03T11:00:00,bkp81t,22.5,69.0,,,,,44
2026-09-03T11:00:00,bkp82t,16.4,,,,,,29
2026-09-03T11:00:00,bkp83t,12.1,,,,,,20
2026-09-03T11:00:00,bkp84t,20.5,46.0,,,,,39
2026-09-03T11:00:00,bkp85t,17.7,,,,,,32
2026-09-03T11:00:00,bkp86t,12.8,26.0,,,,,21
2026-09-03T11:00:00,bkp87t,12.6,25.0,,,,,21
2026-09-03T11:00:00,bkp88t,19.6,,,,,,37
2026-09-03T11:00:00,bkp89t,21.3,58.0,,,,,41
2026-09-03T11:00:00,bkp90t,18.1,51.0,,,,,33
2026-09-03T11:00:00,bkp91t,13.9,40.0,,,,,23
2026-09-03T11:00:00,bkp92t,17.2,,,,,,31
2026-09-03T11:00:00,bkp93t,11.4,30.0,,,,,19
2026-09-03T11:00:00,bkp94t,18.7,,,,,,35
2026-09-03T11:00:00,bkp95t,15.1,,,,,,26
2026-09-03T11:00:00,bkp96t,12.7,28.0,,,,,21
2026-09-03T11:00:00,bkp97t,15.5,,,,,,27
2026-09-03T11:00:00,bkp98t,20.9,,,,,,40
2026-09-03T11:00:00,bkp99t,11.9,23.0,,,,,20
2026-09-03T11:00:00,o10,14.0,,,,,,23
2026-09-03T11:00:00,79t,19.4,,,,,,36
2026-09-03T11:00:00,107t,9.5,,16.0,0.7,1.0,0.0,16
2026-09-03T11:00:00,94t,9.2,18.0,,,,,15
2026-09-03T07:00:00,46t,15.1,,,,,,26
2026-09-03T11:00:00,100t,10.6,29.0,9.0,0.0,6.0,0.0,18
2026-09-03T10:00:00,60t,19.2,,,,,,36
2026-09-03T11:00:00,33t,12.6,,,,,,21
2026-09-03T11:00:00,34t,13.4,,,,,,22
2026-09-03T11:00:00,o61,12.4,,,,,,21
2026-09-03T11:00:00,117t,12.0,,11.0,0.2,2.0,1.0,20
2026-09-03T11:00:00,108t,9.4,,19.0,2.2,,,16
2026-09-03T11:00:00,118t,6.3,,8.0,,1.0,0.0,11
2026-09-03T11:00:00,93t,8.8,19.0,,0.2,3.0,1.0,15
2026-09-03T11:00:00,87t,12.3,,,,0.0,,21
2026-09-03T10:00:00,76t,8.6,,,,,,14
2026-09-03T11:00:00,105t,12.6,,9.0,0.2,5.0,1.0,21
2026-09-03T11:00:00,81t,13.5,,,,,,23
2026-09-03T09:00:00,88t,11.1,19.0,,,11.0,,19
2026-09-03T11:00:00,47t,18.7,,,,,,35
2026-09-03T10:00:00,89t,8.8,19.0,,,,,15
2026-09-03T10:00:00,41t,8.4,,,,,,14
2026-09-03T11:00:00,13t,7.7,25.0,12.0,0.4,6.0,,13
2026-09-03T11:00:00,22t,10.7,25.0,,,,,18
2026-09-03T10:00:00,62t,11.2,,,,,,19
2026-09-03T11:00:00,67t,18.5,,,,,,34
2026-09-03T11:00:00,75t,10.3,,,,0.0,9.0,17
2026-09-03T11:00:00,106t,6.4,,24.0,0.3,1.0,0.0,17
2026-09-03T11:00:00,101t,13.2,27.0,,,3.0,,22
2026-09-03T11:00:00,20t,19.7,34.0,,,,,37
2026-09-03T11:00:00,103t,9.8,32.0,,0.1,9.0,0.0,16
2026-09-03T11:00:00,77t,22.2,37.0,,,,,43
2026-09-03T11:00:00,121t,10.4,,9.0,0.2,1.0,0.0,17
2026-09-03T11:00:00,21t,9.7,,,,,,16
2026-09-03T11:00:00,70t,8.8,,,,,,15
2026-09-03T11:00:00,120t,8.7,,14.0,0.5,1.0,0.0,15
2026-09-03T11:00:00,95t,9.5,20.0,,,,,16
