measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-09-12T06:00:00,119t,5.4,,5.0,1.4,1.0,2.0,9
2026-09-12T06:00:00,02t,10.4,,,,,,17
2026-09-12T06:00:00,03t,13.5,,,,,,23
2026-09-09T06:00:00,05t,14.2,,,,,,24
2026-09-12T06:00:00,12t,11.1,,,,,,19
2026-09-12T07:00:00,50t,13.3,,,,,,22
2026-09-12T07:00:00,52t,12.9,,,,,,22
2026-09-12T07:00:00,53t,13.0,,,,,,22
2026-09-12T06:00:00,54t,13.9,,,0.0,,,23
2026-09-12T07:00:00,59t,9.3,20.0,27.0,,8.0,,19
2026-09-12T07:00:00,61t,10.6,,,,,,18
2026-09-12T07:00:00,bkp100t,10.5,,,,,,18
2026-09-12T07:00:00,bkp101t,14.1,21.0,,,,,24
2026-09-12T07:00:00,bkp102t,8.1,25.0,,,,,14
2026-09-12T06:00:00,bkp103t,14.6,,,,,,24
2026-09-12T07:00:00,bkp104t,8.8,18.0,,,,,15
2026-09-12T06:00:00,bkp105t,14.0,,,,,,23
2026-09-12T06:00:00,bkp114t,8.5,,,,,,14
2026-09-12T06:00:00,bkp115t,8.4,,,,,,14
2026-09-12T06:00:00,bkp116t,8.7,,,,,,15
2026-09-12T06:00:00,bkp117t,6.4,,,,,,11
2026-09-12T06:00:00,bkp118t,12.2,,,,,,20
2026-09-12T06:00:00,bkp119t,9.6,,,,,,16
2026-09-12T06:00:00,bkp120t,16.2,,,,,,29
2026-09-12T06:00:00,bkp121t,7.6,,,,,,13
2026-09-12T06:00:00,bkp122t,9.9,,,,,,17
2026-09-12T06:00:00,bkp123t,8.4,,,,,,14
2026-09-12T06:00:00,bkp124t,12.9,,,,,,22
2026-09-12T06:00:00,bkp125t,14.2,,,,,,24
2026-09-12T06:00:00,bkp126t,11.0,,,,,,18
2026-09-12T06:00:00,bkp127t,12.9,,,,,,22
2026-09-12T06:00:00,bkp128t,9.0,,,,,,15
2026-09-12T05:00:00,bkp129t,6.7,,,,,,11
2026-09-12T06:00:00,bkp130t,9.0,,,,,,15
2026-09-12T06:00:00,bkp131t,10.7,,,,,,18
2026-09-12T06:00:00,bkp133t,9.8,,,,,,16
2026-09-12T07:00:00,bkp56t,13.7,45.0,,,,,23
2026-09-12T07:00:00,bkp57t,13.9,58.0,,,,,32
2026-09-12T07:00:00,bkp58t,13.6,38.0,,,,,23
2026-09-12T07:00:00,bkp59t,10.1,31.0,,,,,17
2026-09-12T07:00:00,bkp60t,9.9,30.0,,,,,17
2026-09-12T07:00:00,bkp61t,18.7,50.0,,,,,35
2026-09-12T07:00:00,bkp62t,19.0,,,,,,35
2026-09-12T07:00:00,bkp63t,10.9,,,,,,18
2026-09-12T07:00:00,bkp64t,12.2,,,,,,20
2026-09-12T07:00:00,bkp65t,15.8,,,,,,28
2026-09-12T07:00:00,bkp66t,15.5,,,,,,27
2026-09-12T07:00:00,bkp67t,15.4,,,,,,27
2026-09-12T07:00:00,bkp69t,15.6,,,,,,27
2026-09-12T07:00:00,bkp70t,9.4,24.0,,,,,16
2026-09-12T07:00:00,bkp71t,10.4,34.0,,,,,17
2026-09-12T07:00:00,bkp72t,21.8,36.0,,,,,42
2026-09-12T06:00:00,bkp73t,10.7,,,,,,18
2026-09-12T07:00:00,bkp74t,10.3,14.0,,,,,17
2026-09-12T07:00:00,bkp75t,11.3,25.0,,,,,19
2026-09-12T07:00:00,bkp76t,11.1,,,,,,19
2026-09-12T07:00:00,bkp77t,9.2,23.0,,,,,15
2026-09-12T07:00:00,bkp78t,15.7,,,,,,27
2026-09-12T07:00:00,bkp79t,16.2,20.0,,,,,29
2026-09-12T07:00:00,bkp80t,10.7,26.0,,,,,18
