province,ym,disease,persons,visits,opd,ipd
กระบี่,2022-11,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,11188,11927,11145,60
กระบี่,2022-11,โรคปอดอุดกั้นเรื้อรัง,571,734,533,80
กระบี่,2022-11,โรคผิวหนังอักเสบ,314,340,314,1
กระบี่,2022-11,โรคลมพิษ,200,221,199,2
กระบี่,2022-11,โรคหอบหืด,650,757,604,61
กระบี่,2022-11,โรคเยื่อจมูกอักเสบจากภูมิแพ้,235,249,235,0
กระบี่,2022-11,โรคเยื่อบุตาอักเสบ,386,408,386,0
กระบี่,2022-12,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6561,7029,6529,44
กระบี่,2022-12,โรคปอดอุดกั้นเรื้อรัง,552,684,506,90
กระบี่,2022-12,โรคผิวหนังอักเสบ,283,300,283,0
กระบี่,2022-12,โรคลมพิษ,170,203,170,2
กระบี่,2022-12,โรคหอบหืด,645,750,607,57
กระบี่,2022-12,โรคเยื่อจมูกอักเสบจากภูมิแพ้,202,210,202,0
กระบี่,2022-12,โรคเยื่อบุตาอักเสบ,542,580,542,2
กระบี่,2023-01,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6651,7197,6623,47
กระบี่,2023-01,โรคปอดอุดกั้นเรื้อรัง,640,797,574,111
กระบี่,2023-01,โรคผิวหนังอักเสบ,293,322,293,0
กระบี่,2023-01,โรคลมพิษ,202,225,201,2
กระบี่,2023-01,โรคหอบหืด,837,978,767,111
กระบี่,2023-01,โรคเยื่อจมูกอักเสบจากภูมิแพ้,283,306,283,0
กระบี่,2023-01,โรคเยื่อบุตาอักเสบ,500,538,500,0
กระบี่,2023-02,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6178,6808,6153,45
กระบี่,2023-02,โรคปอดอุดกั้นเรื้อรัง,609,743,557,99
กระบี่,2023-02,โรคผิวหนังอักเสบ,301,326,301,0
กระบี่,2023-02,โรคลมพิษ,215,240,212,4
กระบี่,2023-02,โรคหอบหืด,820,958,777,74
กระบี่,2023-02,โรคเยื่อจมูกอักเสบจากภูมิแพ้,254,271,254,0
กระบี่,2023-02,โรคเยื่อบุตาอักเสบ,431,462,431,0
กระบี่,2023-03,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,5652,6401,5611,60
กระบี่,2023-03,โรคปอดอุดกั้นเรื้อรัง,540,660,486,99
กระบี่,2023-03,โรคผิวหนังอักเสบ,252,275,251,1
กระบี่,2023-03,โรคลมพิษ,201,217,201,2
กระบี่,2023-03,โรคหอบหืด,544,627,503,61
กระบี่,2023-03,โรคเยื่อจมูกอักเสบจากภูมิแพ้,156,162,156,0
กระบี่,2023-03,โรคเยื่อบุตาอักเสบ,353,373,353,0
กระบี่,2023-04,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,3433,3795,3402,43
กระบี่,2023-04,โรคปอดอุดกั้นเรื้อรัง,516,666,465,104
กระบี่,2023-04,โรคผิวหนังอักเสบ,259,300,259,0
กระบี่,2023-04,โรคลมพิษ,165,185,162,4
กระบี่,2023-04,โรคหอบหืด,562,633,538,40
กระบี่,2023-04,โรคเยื่อจมูกอักเสบจากภูมิแพ้,153,159,153,0
กระบี่,2023-04,โรคเยื่อบุตาอักเสบ,296,316,296,0
กระบี่,2023-05,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7188,7729,7136,78
กระบี่,2023-05,โรคปอดอุดกั้นเรื้อรัง,640,814,586,106
กระบี่,2023-05,โรคผิวหนังอักเสบ,323,389,321,2
กระบี่,2023-05,โรคลมพิษ,201,218,198,4
กระบี่,2023-05,โรคหอบหืด,747,870,711,77
กระบี่,2023-05,โรคเยื่อจมูกอักเสบจากภูมิแพ้,177,185,177,0
กระบี่,2023-05,โรคเยื่อบุตาอักเสบ,400,430,400,0
กระบี่,2023-06,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7428,8371,7375,97
กระบี่,2023-06,โรคปอดอุดกั้นเรื้อรัง,570,760,521,104
กระบี่,2023-06,โรคผิวหนังอักเสบ,365,450,365,0
กระบี่,2023-06,โรคลมพิษ,245,266,243,4
กระบี่,2023-06,โรคหอบหืด,735,949,694,86
กระบี่,2023-06,โรคเยื่อจมูกอักเสบจากภูมิแพ้,185,205,185,0
กระบี่,2023-06,โรคเยื่อบุตาอักเสบ,707,770,707,0
กระบี่,2023-07,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,6918,7661,6880,63
กระบี่,2023-07,โรคปอดอุดกั้นเรื้อรัง,555,715,522,92
กระบี่,2023-07,โรคผิวหนังอักเสบ,425,524,425,0
กระบี่,2023-07,โรคลมพิษ,235,259,234,1
กระบี่,2023-07,โรคหอบหืด,734,887,691,87
กระบี่,2023-07,โรคเยื่อจมูกอักเสบจากภูมิแพ้,196,218,196,0
กระบี่,2023-07,โรคเยื่อบุตาอักเสบ,1187,1255,1187,0
กระบี่,2023-08,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,8471,9368,8431,67
กระบี่,2023-08,โรคปอดอุดกั้นเรื้อรัง,559,753,503,130
กระบี่,2023-08,โรคผิวหนังอักเสบ,360,464,360,1
กระบี่,2023-08,โรคลมพิษ,219,235,216,5
กระบี่,2023-08,โรคหอบหืด,719,835,685,68
กระบี่,2023-08,โรคเยื่อจมูกอักเสบจากภูมิแพ้,239,253,239,0
กระบี่,2023-08,โรคเยื่อบุตาอักเสบ,1124,1177,1124,0
กระบี่,2023-09,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7663,8451,7614,75
กระบี่,2023-09,โรคปอดอุดกั้นเรื้อรัง,630,838,591,102
กระบี่,2023-09,โรคผิวหนังอักเสบ,336,403,336,0
กระบี่,2023-09,โรคลมพิษ,181,200,179,3
กระบี่,2023-09,โรคหอบหืด,735,861,705,53
กระบี่,2023-09,โรคเยื่อจมูกอักเสบจากภูมิแพ้,197,210,197,0
กระบี่,2023-09,โรคเยื่อบุตาอักเสบ,768,815,768,0
กระบี่,2023-10,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,7464,8286,7415,75
กระบี่,2023-10,โรคปอดอุดกั้นเรื้อรัง,814,1190,746,231
กระบี่,2023-10,โรคผิวหนังอักเสบ,397,445,396,2
กระบี่,2023-10,โรคลมพิษ,222,237,222,2
กระบี่,2023-10,โรคหอบหืด,1009,1217,959,122
กระบี่,2023-10,โรคเยื่อจมูกอักเสบจากภูมิแพ้,321,343,321,0
กระบี่,2023-10,โรคเยื่อบุตาอักเสบ,522,588,520,2
กระบี่,2023-11,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,9713,10774,9648,106
กระบี่,2023-11,โรคปอดอุดกั้นเรื้อรัง,825,1155,724,231
กระบี่,2023-11,โรคผิวหนังอักเสบ,397,421,395,2
กระบี่,2023-11,โรคลมพิษ,296,330,292,8
กระบี่,2023-11,โรคหอบหืด,1020,1245,951,144
กระบี่,2023-11,โรคเยื่อจมูกอักเสบจากภูมิแพ้,363,395,362,1
กระบี่,2023-11,โรคเยื่อบุตาอักเสบ,516,568,516,0
กระบี่,2023-12,โรคติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,10456,11650,10414,91
กระบี่,2023-12,โรคปอดอุดกั้นเรื้อรัง,787,1119,692,227
กระบี่,2023-12,โรคผิวหนังอักเสบ,394,427,394,0
กระบี่,2023-12,โรคลมพิษ,280,321,273,11
กระบี่,2023-12,โรคหอบหืด,1019,1255,974,133
กระบี่,2023-12,โรคเยื่อจมูกอักเสบจากภูมิแพ้,326,346,324,2
กระบี่,2023-12,โรคเยื่อบุตาอักเสบ,493,538,493,0
