measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-19T20:00:00,119t,8.4,,19.0,1.2,0.0,2.0,14
2026-08-19T20:00:00,02t,12.9,,,,,,22
2026-08-19T17:00:00,03t,17.2,,,,,,31
2026-08-19T17:00:00,05t,13.9,,,,,,23
2026-08-19T17:00:00,12t,13.7,,,,,,23
2026-08-19T20:00:00,50t,16.4,,,,,,29
2026-08-19T20:00:00,52t,15.8,,,,,,28
2026-08-19T20:00:00,53t,15.6,,,,,,27
2026-08-19T17:00:00,54t,17.1,,,,,,31
2026-08-19T20:00:00,59t,12.3,25.0,30.0,0.6,15.0,,21
2026-08-19T20:00:00,61t,13.0,,,,,,22
2026-08-19T20:00:00,bkp100t,8.8,,,,,,15
2026-08-19T20:00:00,bkp101t,14.8,20.0,,,,,25
2026-08-19T20:00:00,bkp102t,13.2,47.0,,,,,24
2026-08-19T20:00:00,bkp103t,13.9,,,,,,23
2026-08-19T20:00:00,bkp104t,12.9,29.0,,,,,22
2026-08-19T20:00:00,bkp105t,21.0,,,,,,40
2026-08-19T18:00:00,bkp114t,9.0,,,,,,15
2026-08-19T20:00:00,bkp115t,10.0,,,,,,17
2026-08-19T20:00:00,bkp116t,9.1,,,,,,15
2026-08-19T20:00:00,bkp117t,10.3,,,,,,17
2026-08-19T20:00:00,bkp118t,16.1,,,,,,28
2026-08-19T20:00:00,bkp119t,9.7,,,,,,16
2026-08-19T20:00:00,bkp120t,10.6,,,,,,18
2026-08-19T20:00:00,bkp121t,13.1,,,,,,22
2026-08-19T20:00:00,bkp122t,10.0,,,,,,17
2026-08-19T20:00:00,bkp123t,8.7,,,,,,15
2026-08-19T20:00:00,bkp124t,14.8,,,,,,25
2026-08-19T20:00:00,bkp125t,14.5,,,,,,24
2026-08-19T20:00:00,bkp126t,12.3,,,,,,21
2026-08-19T20:00:00,bkp127t,17.6,,,,,,32
2026-08-19T20:00:00,bkp128t,11.3,,,,,,19
2026-08-19T20:00:00,bkp129t,10.4,,,,,,17
2026-08-19T20:00:00,bkp130t,8.6,,,,,,14
2026-08-19T20:00:00,bkp131t,13.8,,,,,,23
2026-08-19T20:00:00,bkp133t,12.0,,,,,,20
2026-08-19T20:00:00,bkp56t,14.3,50.0,,,,,25
2026-08-19T20:00:00,bkp57t,14.7,40.0,,,,,25
2026-08-19T20:00:00,bkp58t,22.8,66.0,,,,,45
2026-08-19T20:00:00,bkp59t,7.9,34.0,,,,,17
2026-08-19T20:00:00,bkp60t,9.5,37.0,,,,,19
2026-08-19T20:00:00,bkp61t,11.3,28.0,,,,,19
2026-08-19T20:00:00,bkp62t,22.7,,,,,,44
2026-08-19T20:00:00,bkp63t,14.1,,,,,,24
2026-08-19T20:00:00,bkp64t,21.5,,,,,,42
2026-08-19T20:00:00,bkp65t,16.7,,,,,,30
2026-08-19T20:00:00,bkp66t,21.5,,,,,,42
2026-08-19T20:00:00,bkp67t,19.5,,,,,,37
2026-08-19T20:00:00,bkp69t,16.3,,,,,,29
2026-08-19T20:00:00,bkp70t,10.1,29.0,,,,,17
2026-08-19T20:00:00,bkp71t,9.8,31.0,,,,,16
2026-08-19T20:00:00,bkp72t,28.9,54.0,,,,,66
2026-08-19T20:00:00,bkp73t,12.5,,,,,,21
2026-08-19T20:00:00,bkp74t,8.8,22.0,,,,,15
2026-08-19T20:00:00,bkp75t,14.0,39.0,,,,,23
2026-08-19T20:00:00,bkp76t,8.6,,,,,,14
2026-08-19T20:00:00,bkp77t,10.7,30.0,,,,,18
2026-08-19T20:00:00,bkp78t,22.2,,,,,,43
2026-08-19T20:00:00,bkp79t,15.7,37.0,,,,,27
2026-08-19T20:00:00,bkp80t,16.7,60.0,,,,,33
2026-08-19T20:00:00,bkp81t,22.1,63.0,,,,,43
2026-08-19T20:00:00,bkp82t,15.7,,,,,,27
2026-08-19T20:00:00,bkp83t,11.3,,,,,,19
2026-08-19T20:00:00,bkp84t,19.4,42.0,,,,,36
2026-08-19T20:00:00,bkp85t,18.0,,,,,,33
2026-08-19T20:00:00,bkp86t,14.0,25.0,,,,,23
2026-08-19T20:00:00,bkp87t,10.9,24.0,,,,,18
2026-08-19T20:00:00,bkp88t,18.4,,,,,,34
2026-08-19T20:00:00,bkp89t,18.6,50.0,,,,,34
2026-08-19T20:00:00,bkp90t,19.1,56.0,,,,,36
2026-08-19T20:00:00,bkp91t,13.7,33.0,,,,,23
2026-08-19T20:00:00,bkp92t,18.1,,,,,,33
2026-08-19T20:00:00,bkp93t,9.7,27.0,,,,,16
2026-08-19T20:00:00,bkp94t,17.8,,,,,,33
2026-08-19T20:00:00,bkp95t,15.0,,,,,,25
2026-08-19T20:00:00,bkp96t,12.1,25.0,,,,,20
2026-08-19T20:00:00,bkp97t,16.6,,,,,,30
2026-08-19T20:00:00,bkp98t,20.8,,,,,,40
2026-08-19T20:00:00,bkp99t,11.8,20.0,,,,,20
2026-08-19T20:00:00,o10,12.7,,,,,,21
2026-08-19T20:00:00,79t,17.1,,,,,,31
2026-08-19T20:00:00,107t,10.1,,18.0,0.2,5.0,12.0,17
2026-08-19T20:00:00,94t,11.7,22.0,,,,,20
2026-08-19T20:00:00,46t,18.7,,,,,,35
2026-08-19T18:00:00,100t,4.7,36.0,15.0,0.0,7.0,0.0,18
2026-08-19T20:00:00,60t,15.8,,,,,,28
2026-08-19T20:00:00,33t,10.7,,,,,,18
2026-08-19T20:00:00,34t,26.6,,,,,,57
2026-08-19T20:00:00,o61,11.6,,,,,,19
2026-08-19T20:00:00,117t,12.1,,15.0,0.3,9.0,,20
2026-08-19T20:00:00,108t,10.1,,24.0,1.9,1.0,2.0,17
2026-08-19T20:00:00,118t,8.2,,9.0,0.5,5.0,0.0,14
2026-08-19T20:00:00,93t,8.6,18.0,,0.0,6.0,0.0,14
2026-08-19T20:00:00,87t,12.0,,,,0.0,,20
2026-08-19T20:00:00,76t,11.7,,,,,,20
2026-08-19T20:00:00,105t,8.4,,20.0,0.1,13.0,1.0,14
2026-08-19T20:00:00,81t,8.6,,,,,,14
2026-08-19T20:00:00,88t,9.1,16.0,,,3.0,,15
2026-08-19T20:00:00,47t,17.1,,,,,,31
2026-08-19T17:00:00,89t,8.9,18.0,,,,,15
2026-08-19T20:00:00,41t,11.5,,,,,,19
2026-08-19T20:00:00,13t,8.5,23.0,21.0,0.3,,,15
2026-08-19T20:00:00,22t,9.3,22.0,,,,,16
2026-08-19T17:00:00,62t,8.5,,,,,,14
2026-08-19T20:00:00,67t,21.3,,,,,,41
2026-08-19T20:00:00,75t,10.4,,,,1.0,10.0,17
2026-08-19T20:00:00,106t,5.3,,18.0,0.2,2.0,0.0,13
2026-08-19T20:00:00,101t,10.7,20.0,,3.7,4.0,1.0,21
2026-08-19T20:00:00,20t,17.5,27.0,,,,,32
2026-08-19T20:00:00,103t,6.4,28.0,,0.2,9.0,0.0,14
2026-08-19T20:00:00,77t,19.0,30.0,,,,,35
2026-08-19T20:00:00,121t,8.9,,17.0,0.2,4.0,5.0,15
2026-08-19T20:00:00,21t,8.2,,,,,,14
2026-08-19T20:00:00,70t,13.0,,,,,,22
2026-08-19T20:00:00,120t,8.7,,20.0,0.5,2.0,0.0,15
2026-08-19T20:00:00,95t,11.9,20.0,,,,,20
2026-08-19T20:00:00,86t,14.4,32.0,,0.9,17.0,,24
2026-08-19T17:00:00,43t,9.0,,,,5.0,,15
2026-08-19T20:00:00,114t,10.1,22.0,18.0,0.4,8.0,1.0,17
2026-08-19T20:00:00,102t,14.9,21.0,,,,1.0,25
2026-08-19T17:00:00,63t,8.3,,,,,,14
2026-08-19T20:00:00,78t,8.4,,,,,,14
2026-08-19T20:00:00,109t,9.6,,18.0,0.1,2.0,3.0,16
2026-08-19T20:00:00,28t,12.0,,,,,,20
2026-08-19T20:00:00,29t,16.0,49.0,,,,,28
2026-08-19T20:00:00,30t,14.9,46.0,18.0,0.1,1.0,0.0,25
2026-08-19T20:00:00,31t,24.4,,,,,,49
2026-08-19T20:00:00,74t,20.8,,,,,,40
2026-08-19T20:00:00,o63,11.8,,,,,,20
2026-08-19T20:00:00,26t,14.3,,,,,,24
2026-08-19T20:00:00,113t,5.0,11.0,28.0,0.0,,,20
2026-08-19T20:00:00,99t,11.4,24.0,20.0,0.3,10.0,4.0,19
2026-08-19T20:00:00,37t,12.8,,,,,,21
2026-08-19T20:00:00,38t,12.4,,20.0,0.3,2.0,0.0,21
2026-08-19T20:00:00,39t,12.3,,,,,,21
2026-08-19T20:00:00,40t,12.6,,,,,,21
2026-08-19T20:00:00,68t,13.1,25.0,,,,,22
2026-08-19T20:00:00,112t,7.4,,15.0,0.0,1.0,0.0,12
2026-08-19T20:00:00,90t,7.5,15.0,,,,,13
2026-08-19T17:00:00,44t,9.4,,,,,,16
2026-08-19T17:00:00,80t,8.7,,,,,,15
2026-08-19T20:00:00,08t,21.8,,,,,,42
2026-08-19T20:00:00,16t,10.3,23.0,,,,,17
2026-08-19T20:00:00,17t,15.8,,,,,,28
2026-08-19T17:00:00,18t,23.4,,,,,,46
2026-08-19T20:00:00,19t,14.9,,,,,,25
2026-08-19T20:00:00,84t,12.6,29.0,,,,,21
2026-08-19T20:00:00,14t,17.5,,12.0,0.3,17.0,2.0,32
2026-08-19T20:00:00,27t,21.0,,,,,,40
2026-08-19T20:00:00,24t,17.1,61.0,,,,,34
2026-08-19T20:00:00,25t,11.1,22.0,,,,,19
2026-08-19T20:00:00,71t,7.2,14.0,12.0,0.0,3.0,11.0,12
2026-08-19T20:00:00,104t,14.3,,20.0,0.2,6.0,2.0,24
2026-08-19T20:00:00,85t,13.0,,,,,,22
2026-08-19T17:00:00,42t,8.9,,,,,,15
2026-08-19T20:00:00,111t,8.2,,17.0,0.1,2.0,0.0,14
2026-08-19T20:00:00,96t,12.4,26.0,,0.8,2.0,1.0,21
2026-08-19T20:00:00,82t,9.0,44.0,,0.2,3.0,,22
2026-08-19T20:00:00,115t,8.7,17.0,12.0,0.2,1.0,1.0,15
2026-08-19T20:00:00,110t,10.2,,23.0,0.2,4.0,0.0,17
2026-08-19T20:00:00,91t,13.8,,,,,,23
2026-08-19T20:00:00,92t,12.3,25.0,,,,,21
2026-08-19T20:00:00,98t,12.4,25.0,19.0,0.3,,0.0,21
2026-08-19T20:00:00,83t,8.7,17.0,,,,,15
2026-08-19T20:00:00,116t,7.9,20.0,22.0,0.1,4.0,0.0,16
2026-08-19T20:00:00,57t,14.1,36.0,,,,,24
2026-08-19T20:00:00,73t,13.2,,,,,,22
2026-08-19T20:00:00,35t,21.4,,,,,,41
2026-08-19T20:00:00,36t,13.6,,,,,,23
2026-08-19T20:00:00,97t,11.9,19.0,16.0,0.0,4.0,3.0,20
2026-08-19T20:00:00,72t,,,,,0.0,,0
2026-08-19T20:00:00,69t,12.8,,,,,,21
