measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-22T11:00:00,119t,10.8,,14.0,1.3,2.0,2.0,18
2026-08-22T11:00:00,02t,10.3,,,,,,17
2026-08-22T11:00:00,03t,12.7,,,,,,21
2026-08-22T11:00:00,05t,10.8,,,,,,18
2026-08-22T11:00:00,12t,10.7,,,,,,18
2026-08-22T11:00:00,50t,12.3,,,,,,21
2026-08-22T11:00:00,52t,12.2,,,,,,20
2026-08-22T11:00:00,53t,12.2,,,,,,20
2026-08-22T11:00:00,54t,12.8,,,,,,21
2026-08-22T11:00:00,59t,9.9,20.0,15.0,0.0,0.0,,17
2026-08-22T11:00:00,61t,10.4,,,,,,17
2026-08-22T11:00:00,bkp100t,5.4,,,,,,9
2026-08-22T11:00:00,bkp101t,11.3,18.0,,,,,19
2026-08-22T11:00:00,bkp102t,7.1,34.0,,,,,17
2026-08-22T11:00:00,bkp103t,12.2,,,,,,20
2026-08-22T11:00:00,bkp104t,9.4,25.0,,,,,16
2026-08-22T11:00:00,bkp105t,18.4,,,,,,34
2026-08-22T11:00:00,bkp114t,8.1,,,,,,14
2026-08-22T11:00:00,bkp115t,6.5,,,,,,11
2026-08-22T11:00:00,bkp116t,7.7,,,,,,13
2026-08-22T11:00:00,bkp117t,6.2,,,,,,10
2026-08-22T11:00:00,bkp118t,11.8,,,,,,20
2026-08-22T11:00:00,bkp119t,8.1,,,,,,14
2026-08-22T11:00:00,bkp120t,9.4,,,,,,16
2026-08-22T11:00:00,bkp121t,7.0,,,,,,12
2026-08-22T11:00:00,bkp122t,7.1,,,,,,12
2026-08-22T11:00:00,bkp123t,7.3,,,,,,12
2026-08-22T11:00:00,bkp124t,12.3,,,,,,21
2026-08-22T11:00:00,bkp125t,11.9,,,,,,20
2026-08-22T11:00:00,bkp126t,10.0,,,,,,17
2026-08-22T11:00:00,bkp127t,15.2,,,,,,26
2026-08-22T11:00:00,bkp128t,7.5,,,,,,13
2026-08-22T11:00:00,bkp129t,11.3,,,,,,19
2026-08-22T11:00:00,bkp130t,8.3,,,,,,14
2026-08-22T11:00:00,bkp131t,7.7,,,,,,13
2026-08-22T11:00:00,bkp133t,8.6,,,,,,14
2026-08-22T11:00:00,bkp56t,9.9,42.0,,,,,21
2026-08-22T11:00:00,bkp57t,10.9,35.0,,,,,18
2026-08-22T11:00:00,bkp58t,16.0,55.0,,,,,29
2026-08-22T11:00:00,bkp59t,9.8,29.0,,,,,16
2026-08-22T11:00:00,bkp60t,8.4,33.0,,,,,17
2026-08-22T11:00:00,bkp61t,8.9,24.0,,,,,15
2026-08-22T11:00:00,bkp62t,17.4,,,,,,32
2026-08-22T11:00:00,bkp63t,12.0,,,,,,20
2026-08-22T11:00:00,bkp64t,17.2,,,,,,31
2026-08-22T11:00:00,bkp65t,12.5,,,,,,21
2026-08-22T11:00:00,bkp66t,17.2,,,,,,31
2026-08-22T11:00:00,bkp67t,12.7,,,,,,21
2026-08-22T11:00:00,bkp69t,10.5,,,,,,18
2026-08-22T11:00:00,bkp70t,6.9,26.0,,,,,13
2026-08-22T11:00:00,bkp71t,9.2,26.0,,,,,15
2026-08-22T11:00:00,bkp72t,20.1,56.0,,,,,38
2026-08-22T11:00:00,bkp73t,13.1,,,,,,22
2026-08-22T11:00:00,bkp74t,6.1,31.0,,,,,16
2026-08-22T11:00:00,bkp75t,14.7,34.0,,,,,25
