measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-09-20T17:00:00,119t,5.4,,19.0,0.3,0.0,3.0,14
2026-09-20T17:00:00,02t,10.2,,,,,,17
2026-09-20T17:00:00,03t,12.9,,,,,,22
2026-09-20T17:00:00,05t,10.7,,,,,,18
2026-09-18T18:00:00,12t,12.5,,,,,,21
2026-09-20T18:00:00,50t,12.6,,,,,,21
2026-09-20T18:00:00,52t,12.3,,,,,,21
2026-09-20T18:00:00,53t,12.1,,,,,,20
2026-09-20T17:00:00,54t,13.1,,,0.0,,,22
2026-09-20T17:00:00,59t,9.4,18.0,,,9.0,,16
2026-09-20T17:00:00,61t,10.4,,,,,,17
2026-09-20T18:00:00,bkp100t,5.3,,,,,,9
2026-09-20T18:00:00,bkp101t,13.2,19.0,,,,,22
2026-09-20T18:00:00,bkp102t,6.9,23.0,,,,,12
2026-09-20T16:00:00,bkp103t,14.3,,,,,,24
2026-09-20T18:00:00,bkp104t,6.1,14.0,,,,,10
2026-09-20T17:00:00,bkp105t,14.2,,,,,,24
2026-09-20T17:00:00,bkp114t,7.4,,,,,,12
2026-09-20T18:00:00,bkp115t,9.4,,,,,,16
2026-09-20T18:00:00,bkp116t,9.3,,,,,,16
2026-09-20T18:00:00,bkp117t,7.3,,,,,,12
2026-09-20T17:00:00,bkp118t,11.8,,,,,,20
2026-09-20T17:00:00,bkp119t,8.9,,,,,,15
2026-09-20T17:00:00,bkp120t,10.4,,,,,,17
2026-09-20T17:00:00,bkp121t,6.6,,,,,,11
2026-09-20T17:00:00,bkp122t,7.5,,,,,,13
2026-09-20T17:00:00,bkp123t,7.8,,,,,,13
2026-09-20T17:00:00,bkp124t,10.6,,,,,,18
2026-09-20T15:00:00,bkp125t,13.9,,,,,,23
2026-09-20T17:00:00,bkp126t,7.5,,,,,,13
2026-09-20T17:00:00,bkp127t,10.4,,,,,,17
2026-09-20T17:00:00,bkp128t,8.8,,,,,,15
2026-09-20T17:00:00,bkp129t,8.1,,,,,,14
2026-09-20T17:00:00,bkp130t,7.0,,,,,,12
2026-09-20T17:00:00,bkp131t,14.2,,,,,,24
2026-09-20T17:00:00,bkp133t,8.6,,,,,,14
2026-09-20T18:00:00,bkp56t,9.1,37.0,,,,,19
2026-09-20T18:00:00,bkp57t,12.5,46.0,,,,,23
2026-09-20T18:00:00,bkp58t,10.8,42.0,,,,,21
2026-09-20T18:00:00,bkp59t,17.1,35.0,,,,,31
2026-09-20T18:00:00,bkp60t,11.1,30.0,,,,,19
2026-09-20T18:00:00,bkp61t,14.2,30.0,,,,,24
2026-09-20T18:00:00,bkp62t,20.6,,,,,,39
