measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-20T04:00:00,119t,8.2,,20.0,1.2,0.0,2.0,14
2026-08-20T04:00:00,02t,12.6,,,,,,21
2026-08-19T17:00:00,03t,17.2,,,,,,31
2026-08-19T17:00:00,05t,13.9,,,,,,23
2026-08-19T17:00:00,12t,13.7,,,,,,23
2026-08-20T04:00:00,50t,14.6,,,,,,24
2026-08-20T04:00:00,52t,13.5,,,,,,23
2026-08-20T04:00:00,53t,12.6,,,,,,21
2026-08-19T17:00:00,54t,17.1,,,,,,31
2026-08-20T04:00:00,59t,9.8,23.0,20.0,0.6,13.0,,16
2026-08-20T04:00:00,61t,12.8,,,,,,21
2026-08-20T04:00:00,bkp100t,6.8,,,,,,11
2026-08-20T04:00:00,bkp101t,12.8,18.0,,,,,21
2026-08-20T04:00:00,bkp102t,12.0,41.0,,,,,21
2026-08-20T04:00:00,bkp103t,11.3,,,,,,19
2026-08-20T04:00:00,bkp104t,11.5,25.0,,,,,19
2026-08-20T04:00:00,bkp105t,19.9,,,,,,38
2026-08-20T04:00:00,bkp114t,7.8,,,,,,13
2026-08-20T04:00:00,bkp115t,8.3,,,,,,14
2026-08-20T04:00:00,bkp116t,7.8,,,,,,13
2026-08-20T04:00:00,bkp117t,9.1,,,,,,15
2026-08-20T04:00:00,bkp118t,13.9,,,,,,23
2026-08-20T04:00:00,bkp119t,8.5,,,,,,14
2026-08-20T04:00:00,bkp120t,8.5,,,,,,14
2026-08-20T04:00:00,bkp121t,12.4,,,,,,21
2026-08-20T04:00:00,bkp122t,8.4,,,,,,14
2026-08-20T04:00:00,bkp123t,7.9,,,,,,13
2026-08-20T04:00:00,bkp124t,13.8,,,,,,23
2026-08-20T04:00:00,bkp125t,11.8,,,,,,20
2026-08-20T04:00:00,bkp126t,11.0,,,,,,18
2026-08-20T04:00:00,bkp127t,15.2,,,,,,26
2026-08-20T04:00:00,bkp128t,10.5,,,,,,18
2026-08-20T04:00:00,bkp129t,8.9,,,,,,15
