province,issued_on,issued_at,target,window_start,window_end,pm25,previous_pm25,latest_pm25,actual_pm25,checked_at
นครสวรรค์,2026-09-26,2026-09-26T12:58:39,tomorrow,2026-09-26T16:00,2026-09-27T15:00,8.1,11.7,9.3,,
นนทบุรี,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T20:00,2026-09-28T19:00,2.3,6.7,3.7,,
นนทบุรี,2026-09-26,2026-09-26T12:58:40,tomorrow,2026-09-26T20:00,2026-09-27T19:00,2.7,6.7,3.7,,
นราธิวาส,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T16:00,2026-09-28T15:00,6.0,8.3,7.3,,
นราธิวาส,2026-09-26,2026-09-26T12:58:40,tomorrow,2026-09-26T16:00,2026-09-27T15:00,6.6,8.3,7.3,,
น่าน,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T20:00,2026-09-28T19:00,7.0,13.7,9.7,,
น่าน,2026-09-26,2026-09-26T12:58:40,tomorrow,2026-09-26T20:00,2026-09-27T19:00,8.0,13.7,9.7,,
บึงกาฬ,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T20:00,2026-09-28T19:00,4.2,6.9,5.4,,
บึงกาฬ,2026-09-26,2026-09-26T12:58:40,tomorrow,2026-09-26T20:00,2026-09-27T19:00,4.7,6.9,5.4,,
บุรีรัมย์,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T20:00,2026-09-28T19:00,1.9,4.5,2.8,,
บุรีรัมย์,2026-09-26,2026-09-26T12:58:40,tomorrow,2026-09-26T20:00,2026-09-27T19:00,2.2,4.5,2.8,,
ปทุมธานี,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T20:00,2026-09-28T19:00,7.0,10.9,8.9,,
ปทุมธานี,2026-09-26,2026-09-26T12:58:40,tomorrow,2026-09-26T20:00,2026-09-27T19:00,7.8,10.9,8.9,,
ประจวบคีรีขันธ์,2026-09-26,2026-09-26T12:58:40,day_after,2026-09-27T20:00,2026-09-28T19:00,5.8,5.3,6.3,,
ประจวบคีรีขันธ์,2026-09-26,2026-09-26T12:58:40,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.2,5.3,6.3,,
ปัตตานี,2026-09-26,2026-09-26T12:58:41,day_after,2026-09-27T20:00,2026-09-28T19:00,6.1,8.4,7.4,,
ปัตตานี,2026-09-26,2026-09-26T12:58:41,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.7,8.4,7.4,,
พัทลุง,2026-09-26,2026-09-26T13:00:56,day_after,2026-09-27T20:00,2026-09-28T19:00,5.9,6.9,6.8,,
พัทลุง,2026-09-26,2026-09-26T13:00:56,tomorrow,2026-09-26T20:00,2026-09-27T19:00,6.4,6.9,6.8,,
พิจิตร,2026-09-26,2026-09-26T13:01:07,day_after,2026-09-27T20:00,2026-09-28T19:00,5.2,5.7,6.0,,
พิจิตร,2026-09-26,2026-09-26T13:01:07,tomorrow,2026-09-26T20:00,2026-09-27T19:00,5.7,5.7,6.0,,
มหาสารคาม,2026-09-26,2026-09-26T13:02:32,day_after,2026-09-27T20:00,2026-09-28T19:00,3.9,4.9,4.7,,
มหาสารคาม,2026-09-26,2026-09-26T13:02:32,tomorrow,2026-09-26T20:00,2026-09-27T19:00,4.3,4.9,4.7,,
มุกดาหาร,2026-09-26,2026-09-26T13:02:38,day_after,2026-09-27T20:00,2026-09-28T19:00,9.2,9.0,10.0,,
มุกดาหาร,2026-09-26,2026-09-26T13:02:38,tomorrow,2026-09-26T20:00,2026-09-27T19:00,9.8,9.0,10.0,,
ลำปาง,2026-09-26,2026-09-26T13:09:03,day_after,2026-09-27T20:00,2026-09-28T19:00,7.0,11.4,9.1,,
ลำปาง,2026-09-26,2026-09-26T13:09:03,tomorrow,2026-09-26T20:00,2026-09-27T19:00,7.9,11.4,9.1,,
ลำพูน,2026-09-26,2026-09-26T13:09:27,day_after,2026-09-27T20:00,2026-09-28T19:00,8.5,12.6,10.5,,
ลำพูน,2026-09-26,2026-09-26T13:09:27,tomorrow,2026-09-26T20:00,2026-09-27T19:00,9.4,12.6,10.5,,
สงขลา,2026-09-26,2026-09-26T13:11:27,day_after,2026-09-27T16:00,2026-09-28T15:00,5.7,7.5,6.8,,
สงขลา,2026-09-26,2026-09-26T13:11:27,tomorrow,2026-09-26T16:00,2026-09-27T15:00,6.2,7.5,6.8,,
สตูล,2026-09-26,2026-09-26T13:11:27,day_after,2026-09-27T16:00,2026-09-28T15:00,5.4,6.8,6.3,,
สตูล,2026-09-26,2026-09-26T13:11:27,tomorrow,2026-09-26T16:00,2026-09-27T15:00,5.8,6.8,6.3,,
สมุทรปราการ,2026-09-26,2026-09-26T13:11:28,day_after,2026-09-27T20:00,2026-09-28T19:00,7.0,11.5,9.1,,
สมุทรปราการ,2026-09-26,2026-09-26T13:11:28,tomorrow,2026-09-26T20:00,2026-09-27T19:00,7.9,11.5,9.1,,
สมุทรสงคราม,2026-09-26,2026-09-26T13:11:28,day_after,2026-09-27T20:00,2026-09-28T19:00,3.1,9.9,5.4,,
สมุทรสงคราม,2026-09-26,2026-09-26T13:11:28,tomorrow,2026-09-26T20:00,2026-09-27T19:00,3.8,9.9,5.4,,
สมุทรสาคร,2026-09-26,2026-09-26T13:11:28,day_after,2026-09-27T20:00,2026-09-28T19:00,8.0,12.5,10.2,,
สมุทรสาคร,2026-09-26,2026-09-26T13:11:28,tomorrow,2026-09-26T20:00,2026-09-27T19:00,8.9,12.5,10.2,,
